t,event,slug,data
80.2,gate_closing,,"{""gate"": ""D"", ""frac"": 0.862}"
80.3167,item_delivered,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.063, 1.965, 0.42]}"
80.3167,item_classified,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 7, ""confidence"": 0.857, ""sensor_miss"": false, ""dims_mm"": [291.4, 200.0, 192.9], ""reason"": ""fits, no circle evidence: circ=0.61 sect=0.00 dome=0.00 flank=44.1mm elong=1.5 h/w=1.03"", ""latency_ms"": 2550.0, ""mode"": ""rtx_depth_3head""}"
80.4833,gate_closed,,"{""gate"": ""D"", ""frac"": 0.044}"
80.6167,routing_cmd,box_s,"{""zone"": ""B""}"
80.6167,gate_commanded,,"{""gate"": ""B"", ""target"": ""open""}"
80.65,gate_opening,,"{""gate"": ""B"", ""frac"": 0.112}"
80.8667,table_entry,box_s,"{""command_margin_s"": 0.55}"
80.9,gate_open,,"{""gate"": ""B"", ""frac"": 0.927}"
80.9333,item_detected,plate,
83.5,exit_verified,box_s,"{""gate"": ""B"", ""gate_state"": ""open""}"
83.5,gate_commanded,,"{""gate"": ""B"", ""target"": ""closed""}"
83.5333,gate_closing,,"{""gate"": ""B"", ""frac"": 0.862}"
83.5667,item_classified,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 7, ""confidence"": 0.857, ""sensor_miss"": false, ""dims_mm"": [200.2, 200.2, 26.6], ""reason"": ""circle evidence: circ=0.97 sect=0.00 dome=0.48 flank=26.2mm elong=1.0 h/w=0.13"", ""latency_ms"": 2633.3, ""mode"": ""rtx_depth_3head""}"
83.8167,gate_closed,,"{""gate"": ""B"", ""frac"": 0.043}"
83.8667,routing_cmd,plate,"{""zone"": ""D""}"
83.8667,gate_commanded,,"{""gate"": ""D"", ""target"": ""open""}"
83.9,gate_opening,,"{""gate"": ""D"", ""frac"": 0.109}"
84.1167,table_entry,plate,"{""command_margin_s"": 0.55}"
84.15,gate_open,,"{""gate"": ""D"", ""frac"": 0.927}"
85.45,item_delivered,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.343, 5.708, 0.8]}"
86.6333,exit_verified,plate,"{""gate"": ""D"", ""gate_state"": ""open""}"
86.6333,gate_commanded,,"{""gate"": ""D"", ""target"": ""closed""}"
86.6667,gate_closing,,"{""gate"": ""D"", ""frac"": 0.862}"
86.75,item_delivered,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.054, 1.96, 0.407]}"
