t,event,slug,data
57.3,escapement_release,sack,"{""carrier"": 6, ""zone"": ""D"", ""t_land_est"": 58.105, ""len_m"": 0.189, ""bias"": 0.0}"
58.1667,induction_landed,sack,"{""carrier"": 6, ""offset_m"": -0.1099}"
58.1667,routing_cmd,sack,"{""zone"": ""D"", ""carrier"": 6}"
58.8833,item_spawned,cylinder,"{""zone_true"": ""D""}"
60.4667,tilt_cmd,sack,"{""carrier"": 6, ""station"": ""D"", ""target_deg"": 28.82}"
60.8667,tilt_full,sack,"{""carrier"": 6, ""tilt_ms"": 400.0}"
61.4667,discharge_confirmed,sack,"{""carrier"": 6, ""station"": ""D"", ""latency_ms"": 850.0}"
61.4833,item_delivered,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.599, 2.494, 0.355]}"
64.2333,item_detected,cylinder,
64.7167,item_classified,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [402.4, 43.0, 37.1], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.09 sect=0.60 dome=0.08 flank=6.5mm elong=10.9 h/w=1.16"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
65.6333,escapement_release,cylinder,"{""carrier"": 8, ""zone"": ""D"", ""t_land_est"": 66.505, ""len_m"": 0.402, ""bias"": -0.05}"
65.7833,item_spawned,box_s,"{""zone_true"": ""B""}"
66.4,induction_landed,cylinder,"{""carrier"": 8, ""offset_m"": -0.0274}"
66.4,routing_cmd,cylinder,"{""zone"": ""D"", ""carrier"": 8}"
69.1333,tilt_cmd,cylinder,"{""carrier"": 8, ""station"": ""D"", ""target_deg"": 38.42}"
69.5833,tilt_full,cylinder,"{""carrier"": 8, ""tilt_ms"": 450.0}"
69.9833,discharge_confirmed,cylinder,"{""carrier"": 8, ""station"": ""D"", ""latency_ms"": 683.3}"
70.0167,item_delivered,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.726, 2.484, 0.271]}"
71.1333,item_detected,box_s,
